Experiment ID,Number of Ants,Travel Time Cost (seconds),Execution Time (seconds)
350-139,350,3023.3090666666667,0.7299485206604004
350-140,350,2626.5798919891986,0.708608865737915
350-141,350,2042.4211941194117,0.7221815586090088
350-142,350,2906.817581758176,0.7218809127807617
350-143,350,3457.5959670781895,0.4191863536834717
350-144,350,3019.2309510951095,0.7076053619384766
350-145,350,1552.436885688569,0.7393596172332764
350-146,350,2768.216789678968,0.7048301696777344
350-147,350,2284.6073063602657,0.40158557891845703
350-148,350,2461.0257485748575,0.5670795440673828
350-149,350,1241.6144254425444,0.7382099628448486
350-150,350,2318.9622862286233,0.7344672679901123
350-151,350,1748.4345634563458,0.7208883762359619
350-152,350,3319.08801080108,0.3445777893066406
350-153,350,inf,0.5671427249908447
350-154,350,2922.713333333333,0.7388780117034912
350-155,350,1853.9032510288066,0.6942958831787109
350-156,350,inf,0.7792367935180664
350-157,350,3756.162076207621,0.41051363945007324
350-158,350,inf,0.7930343151092529
350-159,350,3404.18,0.6403124332427979
350-160,350,3039.66,0.6909120082855225
350-161,350,inf,0.6174039840698242
350-162,350,2449.1055445544553,0.6979465484619141
350-163,350,2487.7269333333334,0.7216944694519043
350-164,350,2695.823750375038,0.7309753894805908
350-165,350,2582.0195739573956,0.6900155544281006
350-166,350,1675.3,0.6784083843231201
350-167,350,1586.8675127512752,0.698889970779419
350-168,350,2895.683480348035,0.7261111736297607
350-169,350,3959.9101410141016,0.7300515174865723
350-170,350,3267.8866666666663,0.5553476810455322
350-171,350,3391.9281580246916,0.4797399044036865
350-172,350,4039.011335133513,0.698735237121582
350-173,350,3324.751113111311,0.348006010055542
350-174,350,1672.0669958847736,0.7195127010345459
350-175,350,2537.941596159616,0.6992599964141846
350-176,350,2566.907404740474,0.5288240909576416
350-177,350,3029.006858685869,0.7067897319793701
350-178,350,1582.9069333333332,0.7182738780975342
350-179,350,3128.7586438643866,0.7108426094055176
350-180,350,2887.2213261326133,0.6558527946472168
350-181,350,2945.496609660966,0.7830085754394531
350-182,350,2204.4995422505212,0.20770978927612305
350-183,350,2888.7815637860085,0.6991384029388428
350-184,350,3318.234587458746,0.7129676342010498
350-185,350,1868.4866666666667,0.34540629386901855
350-186,350,2554.1165448544853,0.29337048530578613
350-187,350,3183.3525333333337,0.7151639461517334
350-188,350,3381.2303930393036,0.7499034404754639
350-189,350,2822.0664506450644,0.7170629501342773
350-190,350,2783.9867626762675,0.2203359603881836
350-191,350,4100.521152115211,0.718024730682373
350-192,350,2339.2799999999997,0.7795674800872803
350-193,350,inf,0.5728862285614014
350-194,350,2494.544326432643,0.717350959777832
350-195,350,1345.0666666666666,0.7198879718780518
350-196,350,3287.577293729373,0.7239043712615967
350-197,350,1415.3144494449446,0.7565052509307861
350-198,350,3608.3264926492648,0.512192964553833
350-199,350,3449.6036885910817,0.368999719619751
350-200,350,2664.4149654965495,0.7241108417510986
350-201,350,2581.6932493249324,0.7369239330291748
350-202,350,3852.1768653161616,0.7613241672515869
350-203,350,1799.352601260126,0.731536865234375
350-204,350,3139.780452674897,0.7179207801818848
350-205,350,3216.283522352235,0.7352724075317383
350-206,350,2162.4369696969698,0.7173023223876953
350-207,350,2388.9939506172836,0.7401301860809326
350-208,350,3690.777809780978,0.7332446575164795
350-209,350,2888.030576131687,0.6411640644073486
350-210,350,4622.876748971194,0.7700192928314209
350-211,350,2389.324938271605,0.7053954601287842
350-212,350,2965.9391408400097,0.4781346321105957
350-213,350,2894.434707470747,0.7173182964324951
350-214,350,2717.21935226856,0.6294569969177246
350-215,350,2936.0812781278128,0.7200970649719238
350-216,350,inf,0.5803275108337402
350-217,350,1623.277901234568,0.7655010223388672
350-218,350,2500.6430166720374,0.44811391830444336
350-219,350,2917.52,0.7330217361450195
350-220,350,4349.749648964897,0.6659727096557617
350-221,350,2581.026631589085,0.5909759998321533
350-222,350,1779.1713591359135,0.7160396575927734
350-223,350,3094.6661728395065,0.7394640445709229
350-224,350,3440.808604860486,0.73085618019104
350-225,350,3060.342178217822,0.47558021545410156
350-226,350,2837.764230423042,0.3880455493927002
350-227,350,2754.9293789378935,0.7319433689117432
350-228,350,1799.1062406240624,0.7224972248077393
350-229,350,2323.303535279454,0.7563250064849854
350-230,350,2398.8911851185117,0.7492516040802002
350-231,350,3532.638739873987,0.7500958442687988
350-232,350,3152.4551875187517,0.7085449695587158
350-233,350,2934.495409540954,0.73124098777771
350-234,350,1926.9049804980498,0.5265665054321289
350-235,350,2317.993717371737,0.7302172183990479
350-236,350,4079.363822382238,0.39155054092407227
350-237,350,2727.283474347435,0.7169365882873535
350-238,350,inf,0.5830948352813721
350-239,350,2239.3610561056103,0.6972453594207764
350-240,350,3461.4995439543954,0.7076911926269531
350-241,350,3137.6000000000004,0.7078526020050049
350-242,350,3291.544284428443,0.42493391036987305
350-243,350,3117.4291629162917,0.7362947463989258
350-244,350,2596.6464,0.7054882049560547
350-245,350,2673.9781069958844,0.6983726024627686
350-246,350,2113.5089528952894,0.6487765312194824
350-247,350,3704.9921632163214,0.612285852432251
350-248,350,2087.9666666666667,0.7320282459259033
350-249,350,1691.8424691358025,0.7256960868835449
350-250,350,3531.8570666666665,0.7164170742034912
350-251,350,2681.4867446744674,0.2684504985809326
350-252,350,3450.675577557756,0.18724870681762695
350-253,350,4318.2103630363035,0.7680943012237549
350-254,350,2174.3418721872185,0.7185027599334717
350-255,350,2412.1035283528354,0.7023015022277832
350-256,350,1917.892907290729,0.7355670928955078
350-257,350,3764.5758295829582,0.5540146827697754
350-258,350,3549.0784998499853,0.7450361251831055
350-259,350,3751.438469846985,0.7589795589447021
350-260,350,3642.430501050105,0.7736871242523193
350-261,350,3097.587494749475,0.7093691825866699
350-262,350,3806.737160493827,0.7455329895019531
350-263,350,2243.4546474647464,0.7388327121734619
350-264,350,2754.1866246624663,0.7180273532867432
350-265,350,2501.3154335433546,0.16415715217590332
350-266,350,3226.3645679012343,0.7010140419006348
350-267,350,2332.36300030003,0.7318909168243408
350-268,350,1902.5126192619264,0.7285070419311523
350-269,350,2635.982992379238,0.4709641933441162
350-270,350,3421.8966456645667,0.7340564727783203
350-271,350,1893.191887188719,0.27651405334472656
350-272,350,2569.255830397855,0.7262129783630371
350-273,350,2709.3887428742873,0.7482759952545166
350-274,350,2943.053399339934,0.49614524841308594
350-275,350,1924.2910351035102,0.7356176376342773
350-276,350,3306.7733333333335,0.6936230659484863
350-277,350,2647.050615061506,0.7308740615844727
350-278,350,2660.268520852085,0.7975318431854248
350-279,350,2478.3383127572015,0.7679023742675781
350-280,350,925.6454905490548,0.7666478157043457
350-281,350,3384.02,0.7640564441680908
350-282,350,1666.628718871887,0.7451455593109131
350-283,350,2988.5404506746972,0.7549741268157959
350-284,350,2362.430069006901,0.7288649082183838
350-285,350,2959.197242798354,0.731968879699707
350-286,350,1952.5648184818483,0.7270665168762207
350-287,350,3077.907566756676,0.7011513710021973
350-288,350,2577.70501650165,0.6009528636932373
350-289,350,1566.1200823045267,0.750474214553833
350-290,350,4077.412271227123,0.748917818069458
350-291,350,3070.052163216322,0.7609701156616211
350-292,350,3086.450309030903,0.2707228660583496
350-293,350,3373.2536,0.7089295387268066
350-294,350,2863.252607260726,0.7265088558197021
350-295,350,1699.1756315631565,0.7111306190490723
350-296,350,2075.7709333333332,0.7335214614868164
350-297,350,2683.1752715271523,0.7274558544158936
350-298,350,2043.7929218106997,0.735558271408081
350-299,350,2911.253333333333,0.7177679538726807
350-300,350,3620.2554193567503,0.43505358695983887
350-301,350,2205.435373537354,0.49722909927368164
350-302,350,3585.5986258625862,0.7340242862701416
350-303,350,3467.725382538254,0.7368271350860596
350-304,350,inf,0.6377542018890381
350-305,350,3053.3354666666664,0.7290294170379639
350-306,350,2910.1247464746475,0.7008571624755859
350-307,350,1904.9873251028807,0.7234063148498535
350-308,350,2707.15599159916,0.7370898723602295
350-309,350,2402.1400420042,0.7232413291931152
350-310,350,3464.7432000000003,0.5178563594818115
350-311,350,3068.4576,0.7029938697814941
350-312,350,1615.8842604260426,0.725977897644043
350-313,350,1848.1906390639065,0.1627204418182373
350-314,350,3367.1274897119342,0.760059118270874
