Experiment ID,Number of Ants,Travel Time Cost (seconds),Execution Time (seconds)
350-161,350,inf,0.5151488780975342
350-162,350,2034.9359315931592,0.5912201404571533
350-163,350,2914.530570057006,0.5928530693054199
350-164,350,4407.726210621062,0.5576541423797607
350-165,350,3930.592670267027,0.5816628932952881
350-166,350,3248.9775308641974,0.5803320407867432
350-167,350,2613.3354628262823,0.5969462394714355
350-168,350,2907.6466666666674,0.6120209693908691
350-169,350,4888.475760576059,0.598952054977417
350-170,350,5536.908007800779,0.5926311016082764
350-171,350,3838.705835583559,0.6025347709655762
350-172,350,4391.421975308642,0.5930147171020508
350-173,350,2664.7449333333334,0.5799970626831055
350-174,350,4661.670411522634,0.5781469345092773
350-175,350,3228.957758775877,0.5798652172088623
350-176,350,3829.3648154815473,0.5911240577697754
350-177,350,6580.6008641975295,0.23871684074401855
350-178,350,2787.4922082208222,0.5957612991333008
350-179,350,4054.4840740740738,0.6149089336395264
350-180,350,inf,0.524928092956543
350-181,350,inf,0.5260839462280273
350-182,350,3752.828888888889,0.5990030765533447
350-183,350,4392.214938271605,0.5962419509887695
350-184,350,4023.3533363336337,0.5932350158691406
350-185,350,2948.412649264927,0.6127429008483887
350-186,350,5986.315022502251,0.500823974609375
350-187,350,5031.299999999999,0.5942380428314209
350-188,350,5935.921254125413,0.4017348289489746
350-189,350,6100.762427983538,0.5968809127807617
350-190,350,3439.325802469136,0.600654125213623
350-191,350,5477.7747284728475,0.5988030433654785
350-192,350,4153.379291929193,0.6130120754241943
350-193,350,4705.65183918392,0.5800879001617432
350-194,350,4424.878256825683,0.5935871601104736
350-195,350,4918.442829282929,0.5943167209625244
350-196,350,5567.098103810381,0.5978701114654541
350-197,350,8178.050894089409,0.421602725982666
350-198,350,4135.807206720671,0.5859370231628418
350-199,350,7442.224419441944,0.5875239372253418
350-200,350,4562.855555555555,0.6059150695800781
350-201,350,2314.6223732373237,0.5937478542327881
350-202,350,3006.4403330333034,0.3428380489349365
350-203,350,4102.073459345936,0.603665828704834
350-204,350,3542.180948094809,0.2736670970916748
